College ,Review ,Helpfulness,Un-helpfulness,Rating,flesch_reading_ease,gunning_fog,Overall,Help
PES University,"Remarks : I got a mechanical branch on merit via the CET exam. Application forms and fees and dates can be found on college websites. The admission process is very good as it was one the top college's in Bangalore and highly maintained
Course Curriculum Overview : I had an interest in machines, motors and the craze of it working so chose this branch. Faculty were highly qualified and relationship with students was good. As I said it's one of the renowned colleges it includes some great PhD holders faculty and other high qualifications too. Exams were conducted semester wise and internal were medium-level difficulty, Loan/ Scholarship Provisions : My branch didn't have that much hike and as I was selected for merit admission so government-quoted fees were all I needed to pay. Scholarships were given to rankers with extraordinary scores. Financial assistance was given to some who couldn't afford it
Campus Life : Annual fest and tech fest were conducted once in 6 months it was so fun where could explore and showcase our talents. The library is very big and almost famous authors' publications could be found. Sports was given also a priority in our college and extracurricular activities were conducted to make students show their talent and many social groups were present in our college such as the welfare club, Leo club etc",10,11,7.5,63.12,21.59855422,-1,0
PES University,"Remarks : I had taken a KCET entrance exam which had of cutoff ranking of 2000 for qualifying in pes electricity campus for computer science engineering. The admission process requires you to show your kcet marks sheet which needs to be asserted along with your 10th and 12th-grade mark sheet. Once the required documents along with passport photos are submitted I had to pay a fee of 1,10,000 in the form of a demand draft to the admission office. Once done they assigned me a unique roll number and some goodies. Later I had to collect my id card on the day PES university starts. Improvement that can be done is to pay fees via online neft (which has been implemented now).
Course Curriculum Overview : I love computer coding so I went towards the domain of computer science engineering. There is sufficient faculty to handle around 1k students each year. It would be better if more teachers are present. Some teachers have a qualified doctorate and some teachers are very good in the subject they teach. There are few teachers whose teaching is the worst. I had to learn some subjects on my own. There is 5 internals for each unit which is MCQ based and trust me that is not a good way to conduct exams as we face a problem during our final which is theory-based. With the burden of projects for every subject, it is a lot to handle for a student. The difficulty of passing is medium as it is a relative grading based on the highest marks scored.
Internships Opportunities : Various companies like Walmart, American express, fractal analytics, Goldmann Sachs, and morgan Stanley come for internships ranging from 50k to 1lakh per month for roles like software engineer, technology analyst, application developer etc.
Placement Experience : Students in the final year are eligible for internships and campus placement. Students in the third and second years are eligible for only internships. Various companies like Infosys, cisco, morgan Stanley, Goldmann Sachs, Samsung and around 200+ companies come to campus for placements. The highest package that has come in my batch was around 30lpa and the average package of 9lpa. Around 90+% students are into some or the other companies. My plans after getting a degree are to have workable experience at it companies and then pursue a master's.
Loan/ Scholarship Provisions : Fees are a bit high for students who don't come via kcet. For kcet people, it is around 1,10,000 rupees which include 48,000 for university infrastructure (actually the PES university looks good). Apart from that you do get three types of scholarships i.e 1. CNRao Scholarship(25% of your fees)- Top 20% of students in terms of GPA (every semester) 2. MRD Scholarship(20% of your fees)- Students achieving 8.5 + cgpa per semester. I have mrd scholarship for a few semesters and remaining semester I didn't receive it because of covid it was removed. My dad had sufficient money to pay for my college so there was no problem with financial assistance. I got a job at Unbxd via campus placement offering me a stipend of a 15lpa package.
Campus Life : Life on campus is good. There are various circular activities like hackathons, quiz maina etc. It will be more fun if you are at our campus (they have lot more events than ec campus). We have an annual fest held during the month of October-November. There are a sufficient number of books at the library for reference and you get access to the digital library (containing books, research papers, and previous years' qps for every course) if you are a PES university student. Every classroom had a large tv to project slides presented by the professor and large blackboards. It has also sufficient benches (three students per bench can suffice the entire strength of the classroom). It has many cupboards for you to keep some extra accessories (not your college bags). There are a lot of sports activities going on every semester like table tennis, cricket(a large cricket ground), football, volleyball, badminton court etc. There are a lot of social groups run by students you can check the pes university link for more details.",6,8,7.2,76.66,18.00020101,-2,0
PES University,"Remarks : I took admission through KCET and based on my raking I got admission here. Application for Kcet can be found on their website. I didn't avail reservations but there are reservations. You can also get admission through its private exam.
Course Curriculum Overview : Faculties are good courses that are all helpful for placement each sem has credits of 22-24 depending for three years and fourth year based on project and internship with some electives a total of 160 credits is required.
Internships Opportunities : JP Morgan Microsoft DE shaw and many more I, for now, have no idea of companies that come to college for internships and Jp morgan offered a 70k package per month for internship. Whereas Microsoft has offered 1.25L.
Placement Experience : 5th-semester companies start coming in. In our college companies like google Microsoft jp morgan Deshaw and many more tier one companies come. Many startups also come. The average package for CSE is nearly 10L. Many students even opt for higher studies.
Loan/ Scholarship Provisions : The fee structure varies for a different type of admission for kcet it's 1.1 lakh for pessat exam students it's 3.3 for my batch and there is also management seat options for this fee excluding hostel. For the top 20 percent of students, they get a 20 percent tuition fee waiver.
Campus Life : The annual fest is named MAYA since there was a covid for two years we didn't have a fest this year we have it in the month of October. The library is decent you can find only course-related books and also gre cat GMAT exam books.",6,6,7.7,74.74,18.58313817,0,0
PES University,"Remarks : Eligibility for the course Is 60 per cent marks in maths and science in 10th and 12th. The application form can be found on the pes website. The application fee is 1050 rupees and the last date to apply for Pessat is 16th June for students who want to write in Bangalore.
Course Curriculum Overview : I chose computer science and engineering since the course curriculum is similar to industry topics and most of the faculty are PhD scholars. There is a good relationship maintained between faculty and student. Term exams are done every 4 to 5 months. It was very difficult to pass if we didn't attend classes properly.
Internships Opportunities : The companies that gave internship opportunities are jp Morgan, IBM, Infosys, and many more. The roles offered are backend developer, frontend developer, Web developer, software developer and many more.
Placement Experience : Students who have completed the 6th semester will become eligible for campus placements. There are almost 200 companies visited and around 500 offers were made. The highest package was 60 lakh per annum for a third-year student and 1.6 crores per annum for a final-year student. The average package is 10 lakh per annum. Almost 80 per cent of students are getting placed. My plan after getting a degree is to get a good placement.
Loan/ Scholarship Provisions : Fees per annum are 3.3 lakh and if a student is in the top 20 per cent that student will be getting a 40 per cent wavier in the fee. Campus placements are done after the third year and the average package is 10 lakh per annum.
Campus Life : The annual fest is called Aatmatrisha and Maaya. Aatmatrisha is conducted in the month of April and maaya is conducted in the month of September or October. There are a lot of books available in the library and they can also be accessed through the pes library portal. There are inter-department matches conducted every year. And these matches are organised by the college management. There are many clubs and social groups for students run by students.",4,3,7.6,79.51,16.77371391,1,0
PES University,"Remarks : admissions to PESU has 3 modes, one is through KCET 2nd option is through PESSAT which is an entrance exam to join for PESU and the last option is through the management quota. If you want to join through KCET without any quota then your rank should be below 1.5-3k for CSE and around 5-9k for ECE(you may wonder that the cutoff of pesu is higher than RVCE, MSRIT and BMSCE that's because the intake of PESU is more compared to other colleges as it is a university) The admission process is very easy you have to fill an online application and you need to submit other documents(such as KCET order copy, marks card, income and caste certificate and if you are from CBSE OR ICSE then you have to provide a migration certificate) and they will verify it.
Course Curriculum Overview : The course curriculum is very latest unlike the vtu curriculum and every year they will change the course curriculum by at least 15-20% just to give an update about the industrial needs and according to it, they change the course. The faculty members are pretty experienced and knowledgeable and they are nither student friendly nor very strict but they will clarify your doubts at any time and even the teaching is good and most of the faculty members did their MTech, PhD in reputed institutions(like IITs, IISc) and they conduct internals twice in a semester unlike vtu which conduct thrice in a semester and previously internals were in online mode(i.e CBT) but now due to covid the internals are in pen paper mode and internals will be easy but the ESAs(sem exams) will be difficult
Internships Opportunities : Students from pesu have done their internships from top companies and 1283 students of 6th semester had virtual internships during the pandemic with them receiving monthly stipneds ranging from 15k-87k and the highest stipend offered was around 1.3L per month and internship offers are good and the conversion rate to pre-placement offers are over 90% and note that everyone won't get the ineternships from college side some has to find it themselves.
Placement Experience : Placement is the best part in PESU, it is one of the best in Karnataka and placement starts in 7th sem and most of the tier 1 company make 7.5 CGPA as the cutoff and placement is excellent for CSE, very good for ECE and the highest placement of this year(2021) is 1.5cr for a CSE student and for ECE its around 35-45L and at least some 130 companies visit our campus every year
Loan/ Scholarship Provisions : fees structure: KCET- around 110000 per year (62k cet fees,48k college fees that include everything even exam fees) PESSAT- around 380000-400000 per year. Management - around 7-8L for CSE,6-7L for ECE,4-5L for MECH. Hostel- 135000(1L is the actual fees and 35k is refundable amount). Scholarship: you are free to apply for any government or private scholarship *RS 1k if your SGPA is above 7.75 *MHRD scholarship-if a student is among the top 20% of his/her class in terms of CGPA for a particular academic year they will get a tuition fee waiver of 40%. CNR Rao scholarship- 50% tuition fee waiver for toppers.
Campus Life : campus life is good, PESU doesn't organise many cultural activities. the annual event- MAYA in every odd sem. activities-inter department sports matches,hackathon,seminar,webinar. infrastructure-labs,library,parking space,wifi,gym,football ground,cricket ground,basketball court,badminton court,volleyball court.
Hostel Facilities : I don't know about hostel facilities as I am a day scholar but the hostel fees are around 1.35L hand the 35k is refundable and if you feel hostel fees are higher than what you expected then you can rent a pg, there are lots of PGs are here and they are as far as 0.5km-1.5km away from college and I heard that the food quality in the hostel is good.",5,5,8.6,70.76,22.66758102,0,0
PES University,"Remarks : In 2016, Comed K used to have physical counseling in Bangalore. So, I had applied for Dayanand Sagar, Nitte Meenakshi, and PES. I chose PES as it was the best among them. There were no such criteria as minimum marks in Comed K. According to the marks you have achieved, there will be some colleges in that marks range. The process was very smooth. They call you as per your ranks and then you get a big screen which shows live availability of seats. You just have to choose from that and make a payment to book the seat.
Course Curriculum Overview : I basically chose this course because that was the only one left in PES and Mech from PES is probably the best you can get in Bangalore. Student to faculty ratio would be somewhere around 1:10. The teaching method is almost the same as all other colleges and it will depend on your teacher how he approaches the subject. Some teachers are highly qualified. For eg. I had a Physics teacher in 1st year who was a PhD holder from IISc and now he is doing Post Doctoral Studies in Ethiopia. Exams are conducted every month in the form of Internal Assessments. They have weightage in your final semester aggregate. The exams are generally moderate to difficult.
Placement Experience : Students are generally eligible from the 7th sem provided they don't have any backlogs. Many companies including several big ones like Morgan Stanley, JP Morgan, Amazon, Google visit the campus every year. The main campus gets placed entirely in 2 months with most students having multiple offers. Highest packages offered usually stays higher than 50 lakhs. This year it was 1.5 crore. If you include all the branches, more than 90 % students get placed. I'm planning to enter the government sector.
Loan/ Scholarship Provisions : Fees will remain same throughout the course Every new hike is generally implemented for the upcoming batches and not the existing ones. So, that is one good thing. My college recently became a University. So, they charge a lot of money now. But it's worth it because Placements have skyrocketed for PES as it has become a brand now. Anybody from the lower-income bracket or SC/ST/OBC is eligible for scholarships every academic year. Placements are exceptional for Computer Science with most of the students bagging 2 offers.
Campus Life : Maya is the annual college fest and it is conducted around the month of October. As far as other events are concerned. There is a department-specific event every year like Ingenius for CS, Kludge for ECE, Vinyasa for Mech. The PES library is quite big spread over 2 floors. You can find course-related books here. The classrooms have OLED TVs installed which the teachers use for presentations. Activity Day is conducted every year which includes many sports activities like Volley Ball, Cricket, Basketball, Badminton. The college has its own separate Cricket Ground. There are many clubs like Entrepreneurship, Automobile, and Aviation clubs like Avions. With the new curriculum, it has become compulsory for students to be a part of at least one club.. So there are even more clubs now.
Hostel Facilities : The boy's hostel is inside the college campus whereas the girl's hostel is a few kilometers away. You will get attached bathrooms in Boy's Hostel whereas common bathrooms in the Girl's hostel. Four meals are usually provided in a day. There is a lot of variety though. Curfew restrictions might be a hurdle sometimes. The registration process is also a little cumbersome as they will ask you to get the signatures of your parents at the time of annual fees submission. So, you will have to send the forms by post to home and get them back. I moved out after 3 years and the area around college is good and well populated with many options for accommodation.",3,1,7.6,81.77,15.48101211,2,0
PES University,"Remarks : I came to heard about this college from my brother who works at Microsoft through his friend who studied here. So, it is fair to say, job offers are fairly good from tier 1 companies for CSE undergraduates.
Course Curriculum Overview : Course syllabus is very basic. Exposure to different varieties of subjects is fully expected. There might be some subjects which don't interest you at all, as was in my case. But it is only a matter of time when a subject of your choice will be available to enroll for. There are online notes for every course which u can peruse through right before exams with ease. In my 1st year, faculty was disappointing for a majority of the subjects, not all. So I would suggest, do not be dependent on the faculty.
Placement Experience : Abundant number of companies visit PES every year ranging from global to local. In the CSE branch, there is a higher chance of bagging a bumper package/tier 1 job offer. Placement process is systematic. The staff at placement department are helpful and cheerful. Entrepreneurship cell never keeps a student in the dark. There are constant notifications and seminars within the cell.
College Events : There are many events ranging from technical to cultural. In my 1st semester, there were roughly, 5-6 of these events. Be it a 24 hr Hackathon or innovative contests for each branch or cultural fests, there was no shortage of entertainment. The participation is fairly good as there is encouragement for winning merchandise and goodies. Overall, with friends these events are plenty of fun and galore.
Campus Life : On campus WiFi facility is non-existent. Gym is nothing but a room with weights and some equipment. Library and labs are far better than any of the other facilities. Library has 2 floors worth of books which you can ask for a limited number of time. There abundant number of labs throughout the whole campus.",8,3,7.3,81.63,16.64,5,0
PES University,"Remarks : Overall the college is good and disciplined. It should provide incentives for students who are publishing papers and winning awards. College doesn't provide funds even for the cultural or technical fests. Students have to get the sponsors for the same and pay any fees required for publishing a technical paper.
Course Curriculum Overview : Course Curriculum and Exam Structure is as per the standards in IITs and NITs. The prescribed books are also the same. Overall the course curriculum focuses more on the theory knowledge imparted from books and very less practical applications are taught in college. I can't say that it is research driven at all but it is fair to all the students and the experience shared by the faculties surely adds value to us being professional. Learning Imparted as part of curriculum was not enough to crack any interview and all students has to put extra effort in order to do so. The curriculum is not at all groomed to provide any industry specific knowledge. Its up to the teachers if they want to impart some knowledge of their professional career to us. To secure on-campus selection we had to practice competitive coding online and practice basic aptitude. Industrial visits are organised every semester which is of little help to some people but not everyone.
Fee Structure And Facilities : College accepts NEFT and Demand Drafts only. The college provides complete transparency in the fee-breakdown. My program fees was 70000 per year which was feasible for my parents. The additional charges are Exam fees, Stationary fees, Convocation fees, tution fees, college fees.Loan/ Scholarship Provisions : I was given a scholarship of 50,000 every year by the govt. of Karnataka. I was eligible for this scholarship because my father is in Indian Air Force. To avail the scholarship I had to fill the online application and submit the acknowledgement in the college office. So overall my fees for 4 years of engineering was 80,000 rupees. There are other kind of scholarships given to students from various other background but no scholarship based on academic performance. Although people who secured 1st division did receive as cheque of 500 rupees every semester.
Campus Life : Gender Ratio depends entirely on the branch. In computer science the boys to girls ratio is around 3:2 while in mechanical, the ratio is 100:1. Their are short functions held during lunch break every week before the cultural fest. The major fest is Maaya that happens every odd semester and other that we have an activity day every even semester. There is VTU Sports Competitions every year and also inter departmental sports competitions as part of activity day. Labs are available in the college for all the courses offered by the college. Apart from all these there the various clubs like Equinox, Math club, IEEE etc. which held activities like quizzes, debates and many other with some prize money. Student community is diverse with a combination of people from all states across India. There is no exploitation with respect to all the rights given by constitution.
Hostel Facilities : For first 2 years I was in college hostel and the fees at that time was 95000 which included food, rent, electricity bill, water bill, laundry. For First year students a separate hostel is available at 4 km away from college. College provides commute for those students. Here, each room is shared by 4 students and beds are one above the other. Common dining room and bathrooms are present. And there is a small gym and play area with a short football ground and 2 basketball courts, Wifi is available. 2nd year onward we are shifted to in-campus hostel in which each room is shared by 3 students. All college facilities including library are available for students staying in college hostel. Outside college at around 1 km many PGs for both boys and girls are available at prices around 8000 rupees. There are also apartments available at some distance from the college.
Alumni/Alumna : Alumni network is available on telegram and linkedin where we can connect with our seniors and ask for any kind of help. Many are helpful and responds to our queries.
Admission : I got admitted to the college through Karnataka Common Entrance Test in the year 2016. The test was held a month after 12th board exams and the admission process started in July. After I secured a decent rank of 5313 in KCET, I got this college. The admission process was smooth. First I had to go to KEA office in Malleshwaram for document verification and later to college for the admission process. All documents were submitted to college at the time of admission and I received an acknowledgement for the same. And I was good to attend college from Aug 1st. I chose the Computer Science and Engineering stream after realising that the new era is going to be completely dependent on computers and this course will help me getting into a good company in Bangalore. Other than this there were seniors who told me about the lack of job situation for other branches of engineering. I chose this college because it was the best I could get given my rank and the branch I desired.
Faculty : Every subject has one teacher assigned for that particular semester. So atleast 8 teachers per semester if we are counting the practicals and labs as well. Average age would be around 40 years and almost all are post graduates. A few are PhD as well. Hierarchy mainly has 3 levels. Associate professors, Assistant Professors and Head of Department. And of course the Principal. A few teachers are really good at what they teach but most of them don't know how to teach even if they have the technical knowledge. The subjects taught by the teachers in class is of very less use if you are not doing any self study. If you are asking doubt out of the textbook, probably you will have to tell the answer to the class the next day. Although some teachers make that extra effort. Some of the faculties do have industry experience which they do share and it does motivates you to enter the corporate world but obviously it differs from person to person.",9,9,6,71.66,16.32392176,0,0
PES University,"Remarks : It's a great place for learning. A student friendly environment. just need to concentrate on professional development of students
Course Curriculum Overview : Vtu syllabus doesn't exactly help you in making professionally sound. it's your skills that does. It just the theory which is in syllabus. which doesn't exactly help you in improving your skills. than the mugging up content it's better to concentrate on programming language development practically
Placement Experience : Yes placement is 90% I can say.There are alot of companies who visit for recruitment. Great support from the institution in placements
College Events : Alot of events were held. like sports. inter college competition. Picnic,outing, intra college competition,quiz, Fairless cooking, antakshri,treasure hunt, craft workshop, Create a student mentorship program,Solo” night hike,workshop where students can make their own dorm room décor — think plant hangers, terrariums, or recycled frames for their art.
Fee Structure And Facilities : The program fee if gon through the cet counseling is not very costly. whereas if it's through management quota it's a little high they provide hostel bus facility. The fee breakdown is clearly mentioned no hide and seek in it. it's transparent. There are no other cost.
Loan/ Scholarship Provisions : Yes opted for scholarship through various sources like. merit cum means scholarship. you need to apply for this after your admission
Campus Life : Yes the campus to look itself is amazing alot of competition were held. they develop leadership qualities, debates were held on various topics for interhouse competition,labs are well equipped. There is discrimination no ragging in the campus. Canteen facility is available
Alumni/Alumna : Yes they have a alumini network where job vacancy and new eventa are posted. Also the alumini are kept in network for job availability
Admission : Through CET counseling. Initially after the cet results you get a date on which your counselling happens depending on your rank on that particular day you get to choose for the college that falls in your ranking range. After selecting your processed further to colege.
Faculty : The faculty helps you in teaching the contents required for that particular semester. they do complete the portions. all the faculty are expertise. but could be more beneficial if thought keeping students in mind. And there learning capabilities. The number of lectures were plenty",6,10,9.2,74.69,17.94466231,-4,0
PES University,"Remarks : Decent College which is more Academic centered and strict but definitely improving. Slow changes are being made to improve the course and the entire structure is being made modernised. The professor pool is still a bit lacklustre.
Course Curriculum Overview : The first year of B tech is course independent. Students of all departments follow a single curriculum and there are no electives to choose from, which makes it seem like another year of high school. There are 2 internals which are computer based followed by a written exam in the end of the semester. The course content is spaced averagely which makes it neither too hectic or chilled.
Placement Experience : The average placement package is around 6 -7 lakhs per annually The 4th year is mostly filled with internships and students have the option to start as early as the 1 year summer holidays. Companies that recruit include microsoft, amazon.etc
College Events : There is an annual cultural fest followed by many other events hosted by various clubs including but not restricted to various hackathons and ideathons. Also an annual event named activity day is carried out where the various departments compete against each other.
Fee Structure And Facilities : The base fees is feasible compared to others, and there are scholarships available to meritorious students. The fees for students who entered through PESSAT is set at 3.2lakhs for the year(2019) but for those students who entered through KCET its around 1.2lakhs.
Loan/ Scholarship Provisions : There are 2 major scholarships based on the cgpa secured by student in their first year which cuts off a percentage on their total fee for that academic year. The first one is awarded to the top 10% of the students and the fee is waived by 25% The second one is awarded to all students who have secured and upwards of 8.2 cgpa and above a fee waiver of 15% along with certificate is awarded.
Campus Life : The labs are decently equipped and is being improved upon. The gender ratio is not too bad a ratio of 1:3 of girls to boys. Frequent workshops are organized by seniors. A strict rule against raging has made accounts of bullying almost next to none.
Hostel Facilities : The hostel for first year is pretty strict, a lot of restrictions. Overall it's a better choice to scout out a PG or rent an apartment with your friends. Although there are a lot of facilities such as laundry and wifi but the 6.30 in time constricts a lot of activities you can partake in.
Alumni/Alumna : There is a pretty good alumni network with many of them having their own successfull startup who occasionally come and provide insights. A lot of students have started actively being part of various tech networks and host frequent seminars on upcoming tech.
Admission : The admission process involves writing the College entrance exam named PESSAT, and based on ranking the courses are allotted. The course CSE was in my line of interest which prompted me to pressure the said course. The Admission process is pretty straightforward, based on your ranking your called to choose your course. The further your rank, the lesser options you get.
Faculty : Some of the faculty carry pretty high qualification and were actively part of the industry and hence provide insight on how the industry works in their respective fields. But the ratio of good professors is pretty low, especially in the first 2 semesters. Hence, the majority of the subjects in the first year feels lackluster since not only are they forced upon you but most of the professors are not upto the mark.",7,12,6.5,74.19,19.76915423,-5,0
