,Name,Review_id,Rating,Review,flesch_reading_ease,gunning_fog
0,PES UNIVERSITY,1,4.4,"Placements: Almost 90% of students got placed during this year's placements in ECE. The highest package offered is 25 LPA, and the average package is 11 LPA, and the lowest package is approximately 5 LPA. The top recruiting companies include Samsung, Qulacomm, NXP Semiconductors, Cadence and many others. 90% of students got internships during their pre-final and final years, while the rest of the students took up MOOC courses.

Infrastructure: The college has good Wi-Fi in each block around the campus. The only thing required to access it is the student registration number of the respective student, which will already be provided by the college during the admissions. Each course of the college is equipped with the latest materials and equipment to understand practically. The classrooms are just good and have a better environment to study and understand the classes, but the only drawback is that the benches are 4-seaters which is congesting. The hostel facilities are provided based on the necessities of students, but whatever the hostel we choose is worth the price we pay for it with good food and hygiene. Sports facilities in the college are quite less, and the sad thing is that we need to pay to play cricket even though we are from the college.

Faculty: The faculty are good at teaching, and they are qualified and complete the syllabus in time. They ensure that we understand the topics and the subject. Most professors are PhD holders from PES itself, while some have done it from IITs, NITs and IISC too. The course is curriculum relevant, and to be honest, it is advanced compared to other colleges, which is still advantageous for us. Semester exams are quite difficult, and we do not have any internal choice in the question papers. The internals are computer-based rather than pen-paper mode, but still the tough question paper makes us prepared for the worst.",73.51,19.460869565217394
1,PES UNIVERSITY,2,4.6,"Placements: Our college is the best for placements. There are many top companies like Apple, Microsoft, Nvidia, Amazon, Z Scalar, Akamai and others coming to our campus for placements. The top package offered this year was by Apple, of 40 Lacs per annum. Companies are divided into 3-tiers. Tier-1 companies offer packages of 20-45 LPA, tier-2 companies offer 10-20 Lacs per annum packages, and tier-3 companies offer packages of around 4-9 LPA. Around 90% of students get placed every year. The college also provides various internship opportunities. Internships are offered to students, with great packages of around 20,000-30,000 per month.

Infrastructure: Our college infrastructure is very good. Labs are well-equipped, and there are 1000s of computers for engineering students with labs on every floor of the B block. The classrooms are also well-equipped with good desks and benches, and every class has a 43-inch TV through which the classes are conducted by teachers. Around 60-70 students can be accommodated at the same time. The library is well-equipped with books, and the books will be available all the time for students. There is a study hall for students on the 13th floor in the B block where 1000 students can sit and study or do educational work peacefully. Hostels have very good infrastructure, but the cost is a little expensive. Our college focuses on sports, extracurricular activities, hackathon and other cultural events. Our college students have won many prizes and rewards in the inter-department and inter-college competitions. Canteens are easily accessible inside our college, and all the types of dishes are available at moderate prices. Our college has 2 well-equipped ambulances for emergency medical situations.

Faculty: Our college has well experienced, qualified and knowledgeable faculty members. Their teaching techniques are very effective and efficient. The course curriculum is planned and executed properly, and subjects in the curriculum are real-time and industry-oriented subjects which make students industry-ready. Exams are difficult, and there are no theory questions in exams. Every question is an implementation, which will, in turn, enhance the students' thinking and problem-solving skills. Passing marks are 40 out of 100 in exams.

Other: Our college focuses on extracurricular activities, Hackathon and other cultural events. Our college students have won many prizes and rewards in inter-department and inter-college competitions. There are many clubs. Team haya is the mechanical engineering students' club, where they make racing cars, and they conduct many racing events. Microsoft innovations labs and CTF Club are computer science clubs which conduct hackathons etc. Athmatrisha is the biggest cultural events in our college which is conducted every year in November. My course is computer science engineering, and I feel my course is the best in our college because faculty members are well experienced and knowledgeable. Labs are well-equipped with great internet connections, and the subjects we study here are futuristic and make us industry-ready. BMTC buses are easily accessible within 100meters from the college gate, and the metro is accessible within 1.2kms.",79.28,15.658387553041019
2,PES UNIVERSITY,3,3.8,"Placements: Students are not recruited in our batch currently. Top companies visit our college for recruitment. Many students who got placed are satisfied with the salary packages.

Infrastructure: The infrastructure is good. Classrooms are spacious. Facilities are good in this college. The food quality is better. I am a day scholar so I do not know about hostel facilities.

Faculty: Faculty members are kind but few of them do not teach us upto the mark. Teachers are qualified. Few teachers are not helpful and knowledgeable. The teaching quality is not good. The course curriculum is hectic. Semester exams are difficult.",88.8,16.938039215686274
3,PES UNIVERSITY,4,4.6,"Placements: Almost 95% of students got placed in our college. The highest salary package offered is 25 LPA. The average salary package offered for our course is 8 LPA. The lowest salary package offered is 4 LPA. Top recruiting companies are Dell, Tata, Mahindra, and AMD. Almost 50% of students got internships from our course, and 40% of students got internships from the CS course. Many top roles are offered in the VLSI domain.

Infrastructure: All labs are equipped with advanced instruments for the research team. The infrastructure of our campus is very good. Wi-Fi is available on campus. Our college has five libraries with reading rooms. The hostel has a capacity of over 1,200 students. Our college has three different messes, a medical room, and a sports room.

Faculty: Teachers hold specialisations in the domain they teach. They are highly qualified and knowledgeable. Around 4-5 teachers have good teaching quality. The course curriculum makes us industry-ready. We have ESA exams. The pass percentage is 40%.

Other: I opted for this course because of my passion for ECE. The best thing about our course is VLSI. We have to develop our coding skills. Our college conducts an Atmatrisha fest. The crowd is average. The connectivity of our campus is smooth. The campus is small. Our college conducts many activities and provides scholarships.",95.09,13.823747276688454
4,PES UNIVERSITY,5,4.0,"Placements: In the 2021 batch, the salary package offered was 1.5 crores PA and the average salary package offered was 11 LPA to 12 LPA. In the 2022 batch, the highest salary package offered was 1.7 crores PA. The college never makes a bad placement offer until you perform with at least no backlogs.

Infrastructure: Infrastructure is the field where the work is in progress. We have the two highest education buildings in Asia, with 13 floors just for classes. The Golden Jubilee Block is 80% complete, having 13 to 15 floors, which contain 3 NBA-level basket courts, Li-Ning-sponsored badminton courts, squash courts, a yoga center, and a gym. The boys' hostel is the best, but it is a little strict. It is divided into 4 to 5 blocks, which are as follows IH block, MM block, New block, IT block, and New BX block. The girls' hostel is located outside of the college, whereas the boys' hostel is located on campus. The college provides a bus service to the girls' hostel.

Faculty: Our teachers are pillars of the college. Our college teachers are helpful. They are Ph.D. holders. Their teaching quality is excellent. As PES is a private university, it designs its curriculum based on trends in the current world and demand. They design a syllabus and curriculum based on the alumni network, company needs, and future requirements. They have a committee just to design the curriculum. The semester exams are a bit more practical and skill-based than theoretical. We have five internals and one end-semester exam for each semester.

Other: The college takes input from 3 like KCET, PESSAT, and management. They provided scholarships. The top 10% of students get a 50% concession on their semester fee as a scholarship. About 20% of students get a 40% concession on their semester fee as a scholarship. Students who have more than a 7.8 SGPA also get the distinction award. Except for the INFINI sports festival, they are less supportive of extracurricular activities. Every year, 52 hackathons are organised by various clubs, departments, and companies.",89.45,16.213937159908724
5,PES UNIVERSITY,6,4.6,"Placements: Students who score above 7 CGPA will get selected for placements in our college. The highest salary package offered is 10 LPA. The average salary package offered is 5 LPA. The lowest salary package offered is 3 LPA. Top recruiting companies are Accenture, Capgemini, etc. Almost 50% of students got internships in top companies. Our college provides various courses for students to develop their skills.

Infrastructure: The infrastructure of our college is good. Our college provides us with all facilities. There are around 6-7 blocks in our college. The library is available in our college. A canteen is available in each block. The food served in the canteen is affordable. A stationery shop is available for students. Labs are available in each block. Wi-Fi facility is available for students only to access selected apps and websites.

Faculty: Our teachers are qualified. Many teachers have charted accountants. They are well-qualified. They guide their students very well. They not only teach academics but also prepare students practically. Students should do 6 weeks of internships every year. Semester exams are challenging. The pass percentage is 95%.

Other: I opted for this course because of my interest in it. It has a wide scope with some extra certification courses, and it provides more job opportunities. Our college organises one event every week. It may be cultural, sports, etc. Our college provides scholarships for students who score good marks every semester.",86.85,13.497275138654448
6,PES UNIVERSITY,7,3.6,"Placements: Many opportunities are provided to students. The placement cell works very hard to ensure students know about these opportunities. The resources to help prepare for placements are also good. This university is well known for its good placements.

Infrastructure: It has labs, a library with Wi-Fi, 2 cafeterias, stationery supplies, and a playground. The girls' hostel is 4 kilometers away from the campus, while the boys' hostel is on campus. Students in the girls' hostel are provided with transportation, but it is quite hectic. The girls' hostel curfew is 6:30 PM and the current warden is strict. The rooms are decent. They accommodate four students in each room. Each room has one window and sufficient storage facilities. Study halls are present. The food in both the college canteen and the hostel canteen is the same and is pretty good.

Faculty: The curriculum is relevant and interesting. The department does not have sufficient faculty members. Faculty members are good at teaching. Exams are challenging and require understanding the course well.

Other: The university is strict, and it does feel more like a coaching school since the extracurricular activities are not prioritised. I hope the university hires more professors to lessen the burden on the current faculty members, who are not fully equipped to handle the various courses.",83.81,15.855953307392998
7,PES UNIVERSITY,8,3.8,"Placements: It's the best college in view of placement, about 90 percent of the students gets placement in the good company, there are many companies like Cipla and many more. According to the seniors the best payout is 30k per month after completing B pharmacy and the average is 15k-25k.

Infrastructure: Infrastructure of the college is not high class but it has best environment for students to study, they take the lecture using PPT presentations they have good classrooms and have auditorium which is not as big as university campus but its kind of manageable.

Faculty: They do have great faculty and they have great experiences about 10 yrs to 15 yrs of teaching experience. If it comes for exams they have divided it into 5 ISA which is CBT (computer based test). They do not have extra curriculum activities like ethnics day or some other functions they are not likely more involved in that.",71.92,20.433222591362128
8,PES UNIVERSITY,9,4.0,"Placements: One of the main reasons why parents and students in Karnataka prefer PES is because of its placements. Our college offers all kinds of placements (TIER 1,2,3 ) the highest package offered was 1.2 crore per annum last year. In my course majortiy of the students got jobs and internships in BENZ, PWC, RELIANCE etc.

Infrastructure: Our entire college is equipped with state of the art labs. We have labs on every floor and every lab has a capacity of 70 We have Wi-Fi throughout campus. WE have 2 libraries with all genres and you can borrow books home as well. The hostel has spacious rooms and the hostel food is yummy. Its not bland. They change the food everyday and hence it does not get repetitive.

Faculty: The teaching quality at PES is amazing. They undergo intense training sessions and make sure the quality of teaching is up to date. PES follows their own curriculum as they are an autonomous university. Hence their course content is up to date The exams are pretty difficult- they are based solely on the concepts taught in class.

Other: I chose mechanical engineering because I love the Physics and Motion involved with machines. I guess if we could have more exposure to the industrial world then that would really be helpful.",82.17,16.731324725011955
9,PES UNIVERSITY,10,4.8,"Placements: Placements provided by this college are amazing. Top recruiting companies like Microsoft and Google visit the college regularly to hire students. The college has a list of tier 1, tier 2, and tier 3 companies. If you have taken computer science and engineering, you will make it through tier 1 or 2 companies.

Infrastructure: The hostel is good. The rooms are good. The Wi-Fi speed is a bit of a problem. The food is average.

Faculty: Faculty members are top-notch and provide good support and the necessary push that the students require to achieve their goals. The course curriculum is hectic but highly rewarding to students, who are ready to put in that effort and dedication. Placements and research output are phenomenal. The course curriculum is relevant and makes students industry-ready.",84.44,15.697339138848571
